Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Merge Sorted Array,100.0,0.522572810373181,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Move Zeroes,100.0,0.6254480537284534,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Merge Two Sorted Lists,88.9,0.6628979746093142,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Valid Parentheses,88.9,0.4184532839269663,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Maximize Distance to Closest Person,88.9,0.4870467032697585,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
