Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximize the Number of Target Nodes After Connecting Trees I,100.0,0.5103467406380028,https://leetcode.com/problems/maximize-the-number-of-target-nodes-after-connecting-trees-i,"Tree, Depth-First Search, Breadth-First Search"
HARD,Maximize the Number of Target Nodes After Connecting Trees II,100.0,0.5810917721518988,https://leetcode.com/problems/maximize-the-number-of-target-nodes-after-connecting-trees-ii,"Tree, Depth-First Search, Breadth-First Search"
