Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Number of Divisible Substrings,100.0,0.7350262213635109,https://leetcode.com/problems/number-of-divisible-substrings,"Hash Table, String, Counting, Prefix Sum"
MEDIUM,Design a 3D Binary Matrix with Efficient Layer Tracking,100.0,0.6938461538461539,https://leetcode.com/problems/design-a-3d-binary-matrix-with-efficient-layer-tracking,"Array, Hash Table, Design, Heap (Priority Queue), Matrix, Ordered Set"
EASY,Backspace String Compare,63.5,0.49393971184024676,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
MEDIUM,Second Highest Salary,63.5,0.4297706945339063,https://leetcode.com/problems/second-highest-salary,Database
HARD,Build Array Where You Can Find The Maximum Exactly K Comparisons,63.5,0.6749989993195373,https://leetcode.com/problems/build-array-where-you-can-find-the-maximum-exactly-k-comparisons,"Dynamic Programming, Prefix Sum"
MEDIUM,Generate Parentheses,63.5,0.7653020640471783,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
EASY,Rotate String,63.5,0.6353771013453273,https://leetcode.com/problems/rotate-string,"String, String Matching"
