Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Increasing Subsequence,100.0,0.5717089001994923,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
HARD,Find Median from Data Stream,88.8,0.5297423417546853,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Find First and Last Position of Element in Sorted Array,88.8,0.46149766045575996,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Minimum Height Trees,88.8,0.419493452347416,https://leetcode.com/problems/minimum-height-trees,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
