Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Escape a Large Maze,100.0,0.35207297328553255,https://leetcode.com/problems/escape-a-large-maze,"Array, Hash Table, Depth-First Search, Breadth-First Search"
MEDIUM,Sorting Three Groups,100.0,0.42004006501115015,https://leetcode.com/problems/sorting-three-groups,"Array, Binary Search, Dynamic Programming"
MEDIUM,As Far from Land as Possible,100.0,0.5174844224567117,https://leetcode.com/problems/as-far-from-land-as-possible,"Array, Dynamic Programming, Breadth-First Search, Matrix"
MEDIUM,Number of Islands,72.3,0.6158144553741334,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Minimum Window Substring,63.0,0.4466556448944594,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Longest Palindromic Substring,63.0,0.35298638402955956,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Integer to Roman,63.0,0.6785868685315376,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
HARD,Making A Large Island,63.0,0.5425511804586954,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
