Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Longest Cycle in a Graph,100.0,0.49796287648844273,https://leetcode.com/problems/longest-cycle-in-a-graph,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Operations on Tree,96.5,0.4689046021671453,https://leetcode.com/problems/operations-on-tree,"Array, Hash Table, Tree, Depth-First Search, Breadth-First Search, Design"
MEDIUM,Find Closest Node to Given Two Nodes,87.0,0.4577291337041447,https://leetcode.com/problems/find-closest-node-to-given-two-nodes,"Depth-First Search, Graph"
MEDIUM,Node With Highest Edge Score,75.3,0.48190193314538865,https://leetcode.com/problems/node-with-highest-edge-score,"Hash Table, Graph"
MEDIUM,Set Matrix Zeroes,69.3,0.5893245701347445,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Longest Substring Without Repeating Characters,60.8,0.36326950545060355,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
