Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Smallest Missing Non-negative Integer After Operations,100.0,0.39556054101861643,https://leetcode.com/problems/smallest-missing-non-negative-integer-after-operations,"Array, Hash Table, Math, Greedy"
EASY,Crawler Log Folder,94.5,0.7163829729656591,https://leetcode.com/problems/crawler-log-folder,"Array, String, Stack"
EASY,Count Largest Group,94.5,0.6657897399575028,https://leetcode.com/problems/count-largest-group,"Hash Table, Math"
EASY,Minimum Subsequence in Non-Increasing Order,94.5,0.7293405126621932,https://leetcode.com/problems/minimum-subsequence-in-non-increasing-order,"Array, Greedy, Sorting"
MEDIUM,Max Difference You Can Get From Changing an Integer,94.5,0.4077157035376981,https://leetcode.com/problems/max-difference-you-can-get-from-changing-an-integer,"Math, Greedy"
