Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Sqrt(x),100.0,0.4002713314398575,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
EASY,Remove All Adjacent Duplicates In String,94.4,0.7106661551649438,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,"String, Stack"
MEDIUM,Remove All Adjacent Duplicates in String II,94.4,0.5910188914000947,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
MEDIUM,Generate Parentheses,94.4,0.7652988696533802,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Insert Delete GetRandom O(1),87.2,0.5490670294993965,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Implement Trie (Prefix Tree),87.2,0.6744651193259369,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Search in Rotated Sorted Array,87.2,0.4232406495786228,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Merge Intervals,87.2,0.4880663892565131,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
EASY,Perfect Number,77.0,0.43952606651533493,https://leetcode.com/problems/perfect-number,Math
